Feature,Gain,Cover,Frequency
median_income,0.22169940756022877,0.05686038235130993,0.05307767125191052
log_median_income,0.195300374068287,0.02505249699034491,0.021683011196185546
ocean_proximity_INLAND,0.11722167816370924,0.006992935212869117,0.005982024674023533
population_per_household,0.0713276746272016,0.07425597946767963,0.06227009792091734
id,0.06812269804906454,0.12076420195967014,0.12090564050810645
latitude,0.05430380058206745,0.08271123227634734,0.07138208171533461
longitude,0.05306149327260915,0.08173619143817326,0.0808889668941006
population_density,0.05075100607094506,0.03992768558688177,0.04726384531566515
housing_median_age,0.02960666313872715,0.025453712519403916,0.045889003459043606
log_population_density,0.024340108169982323,0.017916622268983336,0.019320915878692144
bedrooms_per_room,0.01793038771125668,0.061173857101036774,0.04767337267721199
rooms_per_household,0.014780343584333206,0.04454608598539086,0.04961131465596045
age_income_ratio,0.012094459041255775,0.040089133107096483,0.042532341692079305
interaction_income_bedrooms,0.010288516320428133,0.04166758232079428,0.029997879233306275
bedrooms_per_household,0.009911679261869429,0.0515768323275296,0.054035672758386166
interaction_income_rooms,0.009274116472529017,0.03590425518272035,0.03145316396451738
income_per_room,0.007325938562406942,0.039716987672946034,0.03404196192858135
population,0.006079528177807573,0.03212576866983884,0.037091478174385524
income_per_bedroom,0.005773274063576293,0.033776669978205484,0.029507908997169874
total_rooms,0.0055181876866487855,0.02472745772904521,0.04125988167584447
total_bedrooms,0.004713912933566064,0.020521840366921538,0.03136540810132877
households,0.004034238219851397,0.021029256385638514,0.02267757764565645
ocean_proximity_NEAR OCEAN,0.001940849124576395,0.0032991556837929587,0.003261592915176645
ocean_proximity_NEAR BAY,0.001573756473733617,0.0010784353737267201,0.001550353582998764
log_total_rooms,0.0015147932696187218,0.008947495130412847,0.008058913436153952
log_total_bedrooms,0.0014916027625297644,0.00806885702624553,0.007195980781465962
ocean_proximity_ISLAND,1.9512631189934797e-5,7.888988699463561e-5,2.193896579715232e-5
